SQL> select*from PROGRAMS;
         1,                                                                                                    ,                                                                                                    ,
         2,Dartmouth College                                                                                   ,ECE                                                                                                 ,MA
         3,University of Pennsylvania                                                                          ,Physics                                                                                             ,BS
         4,Yale University                                                                                     ,Microbiology                                                                                        ,BA
         5,Dartmouth College                                                                                   ,Physics                                                                                             ,MA
         6,Cornell University                                                                                  ,Physics                                                                                             ,BS
         7,Harvard University                                                                                  ,BME                                                                                                 ,MS
         8,Columbia University                                                                                 ,CSE                                                                                                 ,BA
         9,Yale University                                                                                     ,Physics                                                                                             ,MS
        10,Columbia University                                                                                 ,Material Science                                                                                    ,MSE
        11,Harvard University                                                                                  ,Cell Biology                                                                                        ,BA
        12,Harvard University                                                                                  ,Plant Biology                                                                                       ,MA
        13,Yale University                                                                                     ,ECE                                                                                                 ,MS
        14,Yale University                                                                                     ,Cell Biology                                                                                        ,BS
        15,Dartmouth College                                                                                   ,ECE                                                                                                 ,BS
        16,Brown University                                                                                    ,Physics                                                                                             ,BA
        17,Brown University                                                                                    ,CSE                                                                                                 ,MA
        18,Brown University                                                                                    ,Scocial Science                                                                                     ,MA
        19,Harvard University                                                                                  ,Scocial Science                                                                                     ,MSE
        20,University of Pennsylvania                                                                          ,Microbiology                                                                                        ,MSE
        21,Columbia University                                                                                 ,Baby Stylist                                                                                        ,MS
        22,Yale University                                                                                     ,ECE                                                                                                 ,BA
        23,Dartmouth College                                                                                   ,ECE                                                                                                 ,MS
        24,Cornell University                                                                                  ,Plant Biology                                                                                       ,MA
        25,Brown University                                                                                    ,EE                                                                                                  ,MS
        26,Brown University                                                                                    ,Material Science                                                                                    ,MA
        27,University of Pennsylvania                                                                          ,Physics                                                                                             ,MA
        28,Harvard University                                                                                  ,Physics                                                                                             ,BS
        29,Yale University                                                                                     ,Physics                                                                                             ,MA
        30,Columbia University                                                                                 ,Cell Biology                                                                                        ,MS
        31,Brown University                                                                                    ,ME                                                                                                  ,BS
        32,Brown University                                                                                    ,Plant Biology                                                                                       ,MS
        33,Dartmouth College                                                                                   ,Material Science                                                                                    ,MS
        34,University of Pennsylvania                                                                          ,ECE                                                                                                 ,MA
        35,Cornell University                                                                                  ,EE                                                                                                  ,BS
        36,Dartmouth College                                                                                   ,Physics                                                                                             ,BA
        37,Cornell University                                                                                  ,CSE                                                                                                 ,MS
        38,Dartmouth College                                                                                   ,Baby Stylist                                                                                        ,MSE
        39,Harvard University                                                                                  ,CSE                                                                                                 ,MS
        40,Brown University                                                                                    ,The Art of Fun-Having                                                                               ,MS
        41,Brown University                                                                                    ,Scocial Science                                                                                     ,BA
        42,Harvard University                                                                                  ,Microbiology                                                                                        ,BS
        43,Dartmouth College                                                                                   ,The Art of Fun-Having                                                                               ,MSE
        44,University of Pennsylvania                                                                          ,ME                                                                                                  ,MSE
        45,Cornell University                                                                                  ,ChemE                                                                                               ,MS
        46,Dartmouth College                                                                                   ,The Art of Fun-Having                                                                               ,MS
        47,Columbia University                                                                                 ,ME                                                                                                  ,BA
        48,Dartmouth College                                                                                   ,ME                                                                                                  ,MA
        49,Cornell University                                                                                  ,Material Science                                                                                    ,MS
        50,Dartmouth College                                                                                   ,ChemE                                                                                               ,BA
        51,University of Pennsylvania                                                                          ,Microbiology                                                                                        ,BS
        52,Dartmouth College                                                                                   ,ChemE                                                                                               ,MSE
        53,Cornell University                                                                                  ,BME                                                                                                 ,MS
        54,Harvard University                                                                                  ,Microbiology                                                                                        ,MSE
        55,Dartmouth College                                                                                   ,Material Science                                                                                    ,BA
        56,Columbia University                                                                                 ,Material Science                                                                                    ,MA
       166,Columbia University                                                                                 ,Plant Biology                                                                                       ,MA
       167,University of Pennsylvania                                                                          ,BME                                                                                                 ,MA
       168,Brown University                                                                                    ,Scocial Science                                                                                     ,MS
       169,Yale University                                                                                     ,ME                                                                                                  ,BS
       170,Yale University                                                                                     ,CSE                                                                                                 ,BS
       171,Columbia University                                                                                 ,Material Science                                                                                    ,BS
       172,Harvard University                                                                                  ,BME                                                                                                 ,MA
       173,Harvard University                                                                                  ,ChemE                                                                                               ,BA
       174,Cornell University                                                                                  ,Microbiology                                                                                        ,BA
       175,Columbia University                                                                                 ,The Art of Fun-Having                                                                               ,MSE
       176,University of Pennsylvania                                                                          ,Cell Biology                                                                                        ,MS
       177,Yale University                                                                                     ,The Art of Fun-Having                                                                               ,MA
       178,Yale University                                                                                     ,Microbiology                                                                                        ,MS
       179,Cornell University                                                                                  ,Microbiology                                                                                        ,MSE
       180,University of Pennsylvania                                                                          ,ME                                                                                                  ,BA
       181,Dartmouth College                                                                                   ,BME                                                                                                 ,MS
       182,Brown University                                                                                    ,ME                                                                                                  ,MA
       183,Cornell University                                                                                  ,ChemE                                                                                               ,MSE
       184,Yale University                                                                                     ,ME                                                                                                  ,BA
       185,Columbia University                                                                                 ,Baby Stylist                                                                                        ,MSE
       186,Columbia University                                                                                 ,Plant Biology                                                                                       ,BA
       187,Cornell University                                                                                  ,Cell Biology                                                                                        ,BA
       188,Dartmouth College                                                                                   ,ME                                                                                                  ,BS
       189,Dartmouth College                                                                                   ,Plant Biology                                                                                       ,MA
       190,Harvard University                                                                                  ,Scocial Science                                                                                     ,BS
       191,University of Pennsylvania                                                                          ,ME                                                                                                  ,MA
       192,University of Pennsylvania                                                                          ,BME                                                                                                 ,MS
       193,Harvard University                                                                                  ,ME                                                                                                  ,MSE
       194,Cornell University                                                                                  ,Scocial Science                                                                                     ,BS
       195,Yale University                                                                                     ,CSE                                                                                                 ,MSE
       196,Dartmouth College                                                                                   ,The Art of Fun-Having                                                                               ,BS
       197,Dartmouth College                                                                                   ,Baby Stylist                                                                                        ,BA
       198,Columbia University                                                                                 ,Microbiology                                                                                        ,BS
       199,Harvard University                                                                                  ,ChemE                                                                                               ,MA
       200,Yale University                                                                                     ,Cell Biology                                                                                        ,MSE
       201,University of Pennsylvania                                                                          ,Baby Stylist                                                                                        ,MA
       202,Columbia University                                                                                 ,The Art of Fun-Having                                                                               ,MS
       203,Columbia University                                                                                 ,The Art of Fun-Having                                                                               ,MA
       204,Brown University                                                                                    ,ChemE                                                                                               ,MA
       205,Yale University                                                                                     ,Plant Biology                                                                                       ,BS
       206,Columbia University                                                                                 ,ME                                                                                                  ,MA
       207,Harvard University                                                                                  ,Plant Biology                                                                                       ,MSE
       208,Dartmouth College                                                                                   ,BME                                                                                                 ,BA
       209,Brown University                                                                                    ,Scocial Science                                                                                     ,BS
       210,University of Pennsylvania                                                                          ,Microbiology                                                                                        ,MS
       211,Dartmouth College                                                                                   ,ChemE                                                                                               ,BS
       212,Yale University                                                                                     ,EE                                                                                                  ,MS
       213,Yale University                                                                                     ,Microbiology                                                                                        ,MA
       214,University of Pennsylvania                                                                          ,ECE                                                                                                 ,BS
       215,Yale University                                                                                     ,BME                                                                                                 ,BS
       216,Brown University                                                                                    ,Cell Biology                                                                                        ,MA
       217,Cornell University                                                                                  ,ECE                                                                                                 ,MSE
       218,Cornell University                                                                                  ,Baby Stylist                                                                                        ,BS
       219,University of Pennsylvania                                                                          ,Baby Stylist                                                                                        ,BA
       220,Harvard University                                                                                  ,The Art of Fun-Having                                                                               ,MA
       221,Harvard University                                                                                  ,Baby Stylist                                                                                        ,MS
       222,Dartmouth College                                                                                   ,The Art of Fun-Having                                                                               ,BA
       223,Columbia University                                                                                 ,EE                                                                                                  ,BS
       224,Harvard University                                                                                  ,EE                                                                                                  ,BS
       225,Harvard University                                                                                  ,Plant Biology                                                                                       ,MS
       226,Cornell University                                                                                  ,Scocial Science                                                                                     ,MSE
       227,University of Pennsylvania                                                                          ,ChemE                                                                                               ,MS
       228,Columbia University                                                                                 ,ME                                                                                                  ,MSE
       229,Harvard University                                                                                  ,ChemE                                                                                               ,MSE
       230,University of Pennsylvania                                                                          ,Scocial Science                                                                                     ,MS
       231,Columbia University                                                                                 ,Cell Biology                                                                                        ,BA
       232,Dartmouth College                                                                                   ,EE                                                                                                  ,MA
       233,Brown University                                                                                    ,EE                                                                                                  ,MA
       234,Brown University                                                                                    ,BME                                                                                                 ,MS
       235,Brown University                                                                                    ,Baby Stylist                                                                                        ,MSE
       236,Columbia University                                                                                 ,Cell Biology                                                                                        ,BS
       237,Columbia University                                                                                 ,Scocial Science                                                                                     ,MA
       238,Cornell University                                                                                  ,Plant Biology                                                                                       ,BA
       239,University of Pennsylvania                                                                          ,Cell Biology                                                                                        ,BA
       240,University of Pennsylvania                                                                          ,ChemE                                                                                               ,BA
       241,University of Pennsylvania                                                                          ,Cell Biology                                                                                        ,MA
       242,Harvard University                                                                                  ,Physics                                                                                             ,MS
       243,Yale University                                                                                     ,The Art of Fun-Having                                                                               ,MS
